gardiner_code,category,transliteration,gloss,notes
A55,A. Man And His Occupations,,Mummy on bed,
Aa15,Aa. Unclassified,,Var. Aa13,
Aa26,Aa. Unclassified,,Unknown,
Aa27,Aa. Unclassified,,Unknown,
Aa28,Aa. Unclassified,,Builder’s tool?,
D1,D. Parts Of The Human Body,"tp, ḏꜣḏꜣ",Head,
D10,D. Parts Of The Human Body,wḏꜣt,Eye with falcon’s head marking,
D156,D. Parts of the Human Body,,,"Not found in Gardiner (1957), Unicode 17.0, or Wikipedia's List of Egyptian hieroglyphs after research -- likely a dataset-specific extended code. Verify manually if needed."
D19,D. Parts Of The Human Body,ḫnt,"Eye, nose, and cheek",
D2,D. Parts Of The Human Body,ḥr,Face,
D21,D. Parts Of The Human Body,"r, jw",Mouth,
D28,D. Parts Of The Human Body,kꜣ,Two arms,
D34,D. Parts Of The Human Body,,Arms with shield and axe,
D35,D. Parts Of The Human Body,"n, nj",Negative arms,
D36,D. Parts Of The Human Body,ꜣ,Arm,
D39,D. Parts Of The Human Body,"m, mwt",Arm holding W24,
D4,D. Parts Of The Human Body,jr,Eye,
D46,D. Parts Of The Human Body,"d, rarely t",Hand,
D52,D. Parts Of The Human Body,mt,Penis,
D53,D. Parts Of The Human Body,,Penis with liquid,
D54,D. Parts Of The Human Body,jw,Legs walking,
D56,D. Parts Of The Human Body,pd,Leg,
D58,D. Parts Of The Human Body,b,Foot,
D60,D. Parts Of The Human Body,,Foot with water streaming,
D62,D. Parts Of The Human Body,,Var. D61,
E1,E. Mammals,kꜣ,Bull,
E17,E. Mammals,,Jackal,
E23,E. Mammals,"rw, r, later l",Recumbent Lion,
E34,E. Mammals,wn,Hare,
E9,E. Mammals,jw,Newborn bubalis,
F12,F. Parts Of MAmmals,wsr,Head and neck of jackal,
F13,F. Parts Of MAmmals,"wp, jp",Horns of ox,
F16,F. Parts Of MAmmals,ꜣb,Horn,
F18,F. Parts Of MAmmals,"bḥ, ḥw, ḥ",Tusk of elephant,
F21,F. Parts Of MAmmals,jdn,Ear of ox,
F22,F. Parts Of MAmmals,pḥ,Hindquarters of leopard or lion,
F23,F. Parts Of MAmmals,,Foreleg of ox,
F26,F. Parts Of MAmmals,ẖn,Goatskin,
F29,F. Parts Of MAmmals,,Combination of F28 + arrow,
F30,F. Parts Of MAmmals,šd,Water skin,
F31,F. Parts Of MAmmals,ms,Three fox skins,
F32,F. Parts Of MAmmals,ẖ,Animal belly and tail,
F34,F. Parts Of MAmmals,jb,Heart,
F35,F. Parts Of MAmmals,nf,Heart and windpipe,
F4,F. Parts Of MAmmals,ḥꜣt,Forepart of lion,
F40,F. Parts Of MAmmals,ꜣw,Backbone and spinal cord at each end,
F9,F. Parts Of MAmmals,,Head of leopard,
G1,G. Birds,ꜣ,Vulture,
G10,G. Birds,,Falcon in sacred bark,
G14,G. Birds,,Vulture,
G17,G. Birds,"m, jm, n",Owl,
G21,G. Birds,"nḥ, nḥḥ",Guinea fowl,
G25,G. Birds,ꜣḫ,Crested Ibis,
G26,G. Birds,,Sacred ibis on standard,
G29,G. Birds,bꜣ,Jabiru,
G35,G. Birds,ꜥq,Cormorant,
G36,G. Birds,wr,Swallow,
G37,G. Birds,,Sparrow,
G39,G. Birds,,Duck,
G4,G. Birds,tjw,Buzzard,
G40,G. Birds,pꜣ,Duck flying,
G43,G. Birds,w,"Quail chick, var. Z7",
G5,G. Birds,,Falcon,
G50,G. Birds,,Two plovers,
G7,G. Birds,,Falcon on standard,
H6,H. Parts Of Birds,šwt,Feather,
I10,"I. Amphibious Animals, Reptiles, Etc.",ḏ,Cobra,
I5,"I. Amphibious Animals, Reptiles, Etc.",sꜣq,Crocodile with curved tail,
I9,"I. Amphibious Animals, Reptiles, Etc.",f,Horned viper,
L1,L. Invertebrates And Lesser Animals,ḫpr,Scarab beetle,
M1,M. Trees And Plants,jmꜣ,Tree,
M12,M. Trees And Plants,ḫꜣ,Lily plant,
M16,M. Trees And Plants,ḥꜣ,Papyrus clump,
M17,M. Trees And Plants,j,Reed leaf,
M18,M. Trees And Plants,jj,Combination of M17 + D54,
M195,M. Trees and Plants,,,"Not found in Gardiner (1957), Unicode 17.0, or Wikipedia's List of Egyptian hieroglyphs after research -- likely a dataset-specific extended code. Verify manually if needed."
M20,M. Trees And Plants,sm,Reed field,
M23,M. Trees And Plants,sw,Sedge,
M26,M. Trees And Plants,šmꜥ,Sedge,
M29,M. Trees And Plants,nḏm,Pod,
M3,M. Trees And Plants,ḫt,Branch,
M4,M. Trees And Plants,rnp,Stripped palm branch,
M40,M. Trees And Plants,js,Reed bundle,
M41,M. Trees And Plants,,Wood log,
M42,M. Trees And Plants,wn,Flower,
M44,M. Trees And Plants,spd,Thorn,
M8,M. Trees And Plants,šꜣ,Pool with lilies,
N1,"N. Sky, Earth, Water",pt,Sky,
N14,"N. Sky, Earth, Water",sbꜣ,Star,
N16,"N. Sky, Earth, Water",tꜣ,Flat land with grain,
N17,"N. Sky, Earth, Water",tꜣ,Var. of N16,
N18,"N. Sky, Earth, Water",ꜣḫt,Strip of sand,
N19,"N. Sky, Earth, Water",ꜣḫty,Two strips of sand,
N2,"N. Sky, Earth, Water",kkw,Sky with broken S40,
N24,"N. Sky, Earth, Water",spꜣt,Irrigation canal system,
N25,"N. Sky, Earth, Water",ḫꜣst,Mountain rande,
N26,"N. Sky, Earth, Water",ḏw,Mountain,
N29,"N. Sky, Earth, Water",q,Sandy slope,
N30,"N. Sky, Earth, Water",jꜣt,Hill with shrubs,
N31,"N. Sky, Earth, Water",wꜣt,Road bordered by shrubs,
N35,"N. Sky, Earth, Water",n,Water ripple,
N36,"N. Sky, Earth, Water",mr,Canal,
N37,"N. Sky, Earth, Water",š,Pool,
N41,"N. Sky, Earth, Water",ḥm,Well with water,
N5,"N. Sky, Earth, Water",rꜥ,Sun,
O1,"O. Buildings, Parts Of Buildings, Etc.",,House plan,
O11,"O. Buildings, Parts of Buildings, etc.",ꜥḥ,palace,Not in Gardiner (1957); resolved via Unicode 17.0 chart (O011).
O28,"O. Buildings, Parts Of Buildings, Etc.",,Column with tenon,
O29,"O. Buildings, Parts Of Buildings, Etc.",,Wood column,
O31,"O. Buildings, Parts Of Buildings, Etc.",,Door,
O34,"O. Buildings, Parts Of Buildings, Etc.",,Door bolt,
O4,"O. Buildings, Parts Of Buildings, Etc.",,Reed shelter,
O49,"O. Buildings, Parts Of Buildings, Etc.",,Area with crossroads,
O50,"O. Buildings, Parts Of Buildings, Etc.",,Threshing floor with grain,
O51,"O. Buildings, Parts Of Buildings, Etc.",,Grain mound on mud floor,
P1,P. Ships And Parts Of Ships,,Boat on water,
P13,P. Ships and Parts of Ships,,,"Not found in Gardiner (1957), Unicode 17.0, or Wikipedia's List of Egyptian hieroglyphs after research -- likely a dataset-specific extended code. Verify manually if needed."
P6,P. Ships And Parts Of Ships,,Mast,
P8,P. Ships And Parts Of Ships,,Oar,
P98,P. Ships and Parts of Ships,,,"Not found in Gardiner (1957), Unicode 17.0, or Wikipedia's List of Egyptian hieroglyphs after research -- likely a dataset-specific extended code. Verify manually if needed."
Q1,Q. Domestic And Funerary Furniture,,Seat,
Q3,Q. Domestic And Funerary Furniture,,Stool,
Q7,Q. Domestic And Funerary Furniture,,Brazier with flame,
R4,R. Temple Furniture And Sacred Emblems,,Bread loaf on mat,
R8,R. Temple Furniture And Sacred Emblems,,Flag,
S24,"S. Crowns, Dress, Staves, Etc.",,Knotted belt,
S28,"S. Crowns, Dress, Staves, Etc.",,Cloth with fringe + S29,
S29,"S. Crowns, Dress, Staves, Etc.",,Folded cloth,
S34,"S. Crowns, Dress, Staves, Etc.",,Sandal strap,
S42,"S. Crowns, Dress, Staves, Etc.",,Scepter,
T14,"T. Warfare, Hunting, Butchery",,Throw stick,
T20,"T. Warfare, Hunting, Butchery",,Var. of T19,
T21,"T. Warfare, Hunting, Butchery",,Harpoon,
T22,"T. Warfare, Hunting, Butchery",,Arrowhead,
T28,"T. Warfare, Hunting, Butchery",,Butcher’s block,
T30,"T. Warfare, Hunting, Butchery",,Knife,
U1,"U. Agriculture, Crafts, And Professions",,Sickle,
U15,"U. Agriculture, Crafts, And Professions",,Sled,
U28,"U. Agriculture, Crafts, And Professions",,Fire drill,
U33,"U. Agriculture, Crafts, And Professions",,Pestle,
U35,"U. Agriculture, Crafts, And Professions",,Combination of U34 + I9,
U7,"U. Agriculture, Crafts, And Professions",,Var. of U6,
V13,"V. Rope, Fiber, Baskets, Bags, Etc.",,Tethering rope,
V16,"V. Rope, Fiber, Baskets, Bags, Etc.",,Hobble for cattle,
V22,"V. Rope, Fiber, Baskets, Bags, Etc.",,Whip,
V24,"V. Rope, Fiber, Baskets, Bags, Etc.",,Cord on Stick,
V25,"V. Rope, Fiber, Baskets, Bags, Etc.",,Var. of V24,
V28,"V. Rope, Fiber, Baskets, Bags, Etc.",,Wick,
V30,"V. Rope, Fiber, Baskets, Bags, Etc.",,Basket,
V31,"V. Rope, Fiber, Baskets, Bags, Etc.",,Basket with handle,
V4,"V. Rope, Fiber, Baskets, Bags, Etc.",,Lasso,
V6,"V. Rope, Fiber, Baskets, Bags, Etc.",,Cord with loop facing downwards,
V7,"V. Rope, Fiber, Baskets, Bags, Etc.",,Cord with loop facing upwards,
W11,W. Vessels Of Stone And Earthenware,,Ring stand,
W14,W. Vessels Of Stone And Earthenware,,Tall jar,
W15,W. Vessels Of Stone And Earthenware,,Tall jar with water,
W18,W. Vessels Of Stone And Earthenware,,Var. W17,
